Ingreso,"Título","Jurisdicción","Departamento"
2024/01/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SORIANO"
2024/04/16,"ASOCIADO A VD","COMISARÍA 4","MONTEVIDEO"
2024/03/21,"ASOCIADO A VD","COMISARÍA 2","TREINTA Y TRES"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/03/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/03/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","CANELONES"
2024/05/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MONTEVIDEO"
2024/01/06,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","ROCHA"
2024/02/05,"ASOCIADO A VD","COMISARÍA 1","LAVALLEJA"
2024/03/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/01/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/01/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SAN JOSÉ"
2024/01/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/01/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/01/01,"ASOCIADO A VD","COMISARÍA 3","ARTIGAS"
2024/01/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","RIVERA"
2024/05/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/05/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","ARTIGAS"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/01/02,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/01/02,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/03/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/01/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/01/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/01/11,"ASOCIADO A VD","COMISARÍA 13","MONTEVIDEO"
2024/03/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MONTEVIDEO"
2024/02/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/01/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/01/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RIVERA"
